time,value
84394,1.64599967
84453,1.20634532
84460,1.102185965
84533,0.848430812
84625,1.083747506
84633,1.002831101
84650,0.949235618
84822,0.907365143
84832,1.222998738
84858,0.899063706
84988,1.326656342
85030,0.795774877
85127,0.845999539
85165,0.883715153
85197,1.156087518
85270,0.880155563
85420,1.000389576
85448,0.969506621
85546,1.033648252
85583,0.977682233
85605,1.467888713
85684,0.904462695
85784,1.042115688
85794,1.271023035
85860,1.258117676
85943,0.986327052
86222,0.9805215
86396,1.402250171
86402,1.140064836
86421,1.03015542
86592,1.000876665
86645,1.223565102
86658,1.301580071
86671,1.143287897
86716,1.130748868
86867,2.066744089
86894,0.987434089
86939,1.011378288
87076,0.962655425
87170,0.979046881
87321,0.871538162
87339,1.338308096
87575,1.217646003
87688,1.339520574
87791,1.579268217
87793,0.992343187
87794,0.945524991
87909,1.735764146
87919,0.818590403
88097,1.012085676
88224,1.113355756
88313,1.140088439
88532,1.264468789
88557,1.353913426
88832,0.982657552
88905,0.950273812
89362,1.065012217
89446,0.84280318
89643,1.166232347
89753,1.714450598
89768,0.90359205
90044,1.146789908
90141,1.297569513
90172,1.570058227
90189,0.824308515
90253,1.068216085
90399,12.08934307
